date,section,exports,imports
2002-11-01,5,1520.816342,1660.652195
2002-11-01,6,2105.57516,2467.962796
2002-11-01,7,19172.455152,15895.68048
2002-11-01,8,2804.782175,1538.437789
2002-11-01,9,367.83771,848.73235
2002-11-01,overall,32075.412100999998,25606.045802
2002-12-01,0,649.558467,921.569677
2002-12-01,1,108.938486,108.52943
2002-12-01,2,706.727912,493.445538
2002-12-01,3,3378.716184,1429.879565
2002-12-01,4,1813.049168,152.428058
2002-12-01,5,1410.064539,1736.623606
2002-12-01,6,2110.634836,2375.265574
2002-12-01,7,16683.41788,14711.597296
2002-12-01,8,2458.474537,1556.036195
2002-12-01,9,367.631044,750.227654
2002-12-01,overall,29687.213053000003,24235.602593
2003-01-01,0,755.813515,1202.577527
2003-01-01,1,132.47964,109.118245
2003-01-01,2,772.310159,681.041575
2003-01-01,3,3421.192581,1332.171993
2003-01-01,4,1927.694578,182.437008
2003-01-01,5,1573.781187,2060.878159
2003-01-01,6,2281.711055,2473.471664
2003-01-01,7,17658.525719,14487.657924
2003-01-01,8,2654.894774,1366.554542
2003-01-01,9,443.65812,645.919064
2003-01-01,overall,31622.061328,24541.827701
2003-02-01,0,557.425271,871.30967
2003-02-01,1,104.268339,56.874758
2003-02-01,2,606.442731,385.38248
2003-02-01,3,3345.58616,1386.488242
2003-02-01,4,1353.00167,132.919343
2003-02-01,5,1455.273984,1692.625749
2003-02-01,6,1918.114401,2156.621419
2003-02-01,7,15352.188316,12854.778664
2003-02-01,8,2015.173633,1179.026783
2003-02-01,9,299.298132,568.108026
2003-02-01,overall,27006.772637,21284.135134
2003-03-01,0,677.252281,1109.637525
2003-03-01,1,128.510387,112.604329
2003-03-01,2,869.466998,688.198477
2003-03-01,3,3928.455398,1482.939414
2003-03-01,4,1919.427727,147.837282
2003-03-01,5,1708.558338,2161.055211
2003-03-01,6,2449.084876,2655.05052
2003-03-01,7,18243.483777,15309.477775
2003-03-01,8,2764.050136,1401.359771
2003-03-01,9,419.391613,765.979966
2003-03-01,overall,33107.681531,25834.14027
2003-04-01,0,680.298827,883.932738
2003-04-01,1,118.853982,132.135103
2003-04-01,2,828.943956,523.681431
2003-04-01,3,3087.810861,1690.246002
2003-04-01,4,1854.639376,95.436616
2003-04-01,5,1644.010237,1950.572932
2003-04-01,6,2337.880781,2492.310191
2003-04-01,7,18411.026969,15459.882468
2003-04-01,8,2788.919332,1356.42206
2003-04-01,9,402.882551,879.270264
2003-04-01,overall,32155.266872,25463.889805
2003-05-01,0,638.476867,931.179513
2003-05-01,1,119.499562,97.677295
2003-05-01,2,899.495188,597.687656
2003-05-01,3,2993.19265,1597.273854
2003-05-01,4,2104.939614,101.952491
2003-05-01,5,1781.80941,1783.783803
2003-05-01,6,2379.573366,2383.085528
2003-05-01,7,17890.076953,15322.449234
2003-05-01,8,2761.586814,1317.922665
2003-05-01,9,383.764635,840.40593
2003-05-01,overall,31952.415059,24973.417969
2003-06-01,0,682.078088,960.067111
2003-06-01,1,111.059348,90.641023
2003-06-01,2,772.314639,587.788474
2003-06-01,3,2820.433771,1327.348649
2003-06-01,4,1927.616827,86.67884
2003-06-01,5,1770.693403,1833.89677
2003-06-01,6,2087.241612,2332.913726
2003-06-01,7,19056.387264,15389.571578
2003-06-01,8,2793.80099,1473.955324
2003-06-01,9,369.768903,828.717581
2003-06-01,overall,32391.394845,24911.579075999998
2003-07-01,0,676.11731,1106.935635
2003-07-01,1,112.849129,92.476976
2003-07-01,2,830.041767,644.193441
2003-07-01,3,3234.030572,1452.737605
2003-07-01,4,2325.321556,82.156771
2003-07-01,5,1623.878174,1700.37047
2003-07-01,6,2180.937922,2434.760823
2003-07-01,7,18670.471417,17734.679044
2003-07-01,8,2923.902723,1583.569947
2003-07-01,9,420.435172,765.068761
2003-07-01,overall,32997.985742,27596.949472999997
2003-08-01,0,704.538863,843.098442
